code,name,name_en,full_name,full_name_en,code_name,province_code,center
001,Ba Đình,Ba Dinh,Quận Ba Đình,Ba Dinh District,ba_dinh,01,"21.0365377, 105.8285908"
002,Hoàn Kiếm,Hoan Kiem,Quận Hoàn Kiếm,Hoan Kiem District,hoan_kiem,01,"21.0242596, 105.8406959"
003,Tây Hồ,Tay Ho,Quận Tây Hồ,Tay Ho District,tay_ho,01,"21.0683576, 105.8240984"
004,Long Biên,Long Bien,Quận Long Biên,Long Bien District,long_bien,01,"21.0359662, 105.9021921"
005,Cầu Giấy,Cau Giay,Quận Cầu Giấy,Cau Giay District,cau_giay,01,"21.0295015, 105.7914212"
006,Đống Đa,Dong Da,Quận Đống Đa,Dong Da District,dong_da,01,"21.0146852, 105.8235426"
007,Hai Bà Trưng,Hai Ba Trung,Quận Hai Bà Trưng,Hai Ba Trung District,hai_ba_trung,01,"21.0064704, 105.8578519"
008,Hoàng Mai,Hoang Mai,Quận Hoàng Mai,Hoang Mai District,hoang_mai,01,"20.9757581, 105.8626556"
009,Thanh Xuân,Thanh Xuan,Quận Thanh Xuân,Thanh Xuan District,thanh_xuan,01,"20.9944171, 105.8171316"
016,Sóc Sơn,Soc Son,Huyện Sóc Sơn,Soc Son District,soc_son,01,"21.2572652, 105.8481633"
017,Đông Anh,Dong Anh,Huyện Đông Anh,Dong Anh District,dong_anh,01,"21.1547375, 105.848701"
018,Gia Lâm,Gia Lam,Huyện Gia Lâm,Gia Lam District,gia_lam,01,"21.0238721, 105.97050129109073"
019,Nam Từ Liêm,Nam Tu Liem,Quận Nam Từ Liêm,Nam Tu Liem District,nam_tu_liem,01,"21.0173512, 105.7613329"
020,Thanh Trì,Thanh Tri,Huyện Thanh Trì,Thanh Tri District,thanh_tri,01,"20.941461599999997, 105.83603265035416"
021,Bắc Từ Liêm,Bac Tu Liem,Quận Bắc Từ Liêm,Bac Tu Liem District,bac_tu_liem,01,"21.0712548, 105.7644855"
024,Hà Giang,Ha Giang,Thành phố Hà Giang,Ha Giang City,ha_giang,02,"22.8264592, 104.9846342"
026,Đồng Văn,Dong Van,Huyện Đồng Văn,Dong Van District,dong_van,02,"23.2782975, 105.3615214"
027,Mèo Vạc,Meo Vac,Huyện Mèo Vạc,Meo Vac District,meo_vac,02,"23.1516557, 105.437853298152"
