code,name,name_en,full_name,full_name_en,code_name,center
01,Hà Nội,Ha Noi,Thành phố Hà Nội,Ha Noi City,ha_noi,"21.0283334, 105.854041"
02,Hà Giang,Ha Giang,Tỉnh Hà Giang,Ha Giang Province,ha_giang,"22.7336097, 105.0027271"
04,Cao Bằng,Cao Bang,Tỉnh Cao Bằng,Cao Bang Province,cao_bang,"22.7426936, 106.1060926"
06,Bắc Kạn,Bac Kan,Tỉnh Bắc Kạn,Bac Kan Province,bac_kan,"22.2571701, 105.8204437"
08,Tuyên Quang,Tuyen Quang,Tỉnh Tuyên Quang,Tuyen Quang Province,tuyen_quang,"22.0747798, 105.258411"
10,Lào Cai,Lao Cai,Tỉnh Lào Cai,Lao Cai Province,lao_cai,"22.3069302, 104.1829592"
11,Điện Biên,Dien Bien,Tỉnh Điện Biên,Dien Bien Province,dien_bien,"21.6546566, 103.2168632"
12,Lai Châu,Lai Chau,Tỉnh Lai Châu,Lai Chau Province,lai_chau,"22.2921668, 103.1798662"
14,Sơn La,Son La,Tỉnh Sơn La,Son La Province,son_la,"21.2276769, 104.1575944"
15,Yên Bái,Yen Bai,Tỉnh Yên Bái,Yen Bai Province,yen_bai,"21.8268679, 104.663122"
17,Hoà Bình,Hoa Binh,Tỉnh Hoà Bình,Hoa Binh Province,hoa_binh,"20.6763365, 105.3759952"
19,Thái Nguyên,Thai Nguyen,Tỉnh Thái Nguyên,Thai Nguyen Province,thai_nguyen,"21.6498502, 105.8351394"
20,Lạng Sơn,Lang Son,Tỉnh Lạng Sơn,Lang Son Province,lang_son,"21.8487579, 106.6140692"
22,Quảng Ninh,Quang Ninh,Tỉnh Quảng Ninh,Quang Ninh Province,quang_ninh,"21.1718046, 107.2012742"
24,Bắc Giang,Bac Giang,Tỉnh Bắc Giang,Bac Giang Province,bac_giang,"21.3169625, 106.437985"
25,Phú Thọ,Phu Tho,Tỉnh Phú Thọ,Phu Tho Province,phu_tho,"21.3007538, 105.1349604"
26,Vĩnh Phúc,Vinh Phuc,Tỉnh Vĩnh Phúc,Vinh Phuc Province,vinh_phuc,"21.3778689, 105.5758286"
27,Bắc Ninh,Bac Ninh,Tỉnh Bắc Ninh,Bac Ninh Province,bac_ninh,"21.0955822, 106.1264766"
30,Hải Dương,Hai Duong,Tỉnh Hải Dương,Hai Duong Province,hai_duong,"20.8930571, 106.3725441"
31,Hải Phòng,Hai Phong,Thành phố Hải Phòng,Hai Phong City,hai_phong,"20.858864, 106.6749591"
