code,name,name_en,full_name,full_name_en,code_name,district_code,center
00001,Phúc Xá,Phuc Xa,Phường Phúc Xá,Phuc Xa Ward,phuc_xa,001,"21.0456942, 105.8482503"
00004,Trúc Bạch,Truc Bach,Phường Trúc Bạch,Truc Bach Ward,truc_bach,001,"21.0460498, 105.8418932"
00006,Vĩnh Phúc,Vinh Phuc,Phường Vĩnh Phúc,Vinh Phuc Ward,vinh_phuc,001,"21.0421695, 105.8101415"
00007,Cống Vị,Cong Vi,Phường Cống Vị,Cong Vi Ward,cong_vi,001,"21.0350399, 105.8101844"
00008,Liễu Giai,Lieu Giai,Phường Liễu Giai,Lieu Giai Ward,lieu_giai,001,"21.0375836, 105.8174205"
00010,Nguyễn Trung Trực,Nguyen Trung Truc,Phường Nguyễn Trung Trực,Nguyen Trung Truc Ward,nguyen_trung_truc,001,"21.0419431, 105.8472242"
00013,Quán Thánh,Quan Thanh,Phường Quán Thánh,Quan Thanh Ward,quan_thanh,001,"21.0415304, 105.8414121"
00016,Ngọc Hà,Ngoc Ha,Phường Ngọc Hà,Ngoc Ha Ward,ngoc_ha,001,"21.0385, 105.8250869"
00019,Điện Biên,Dien Bien,Phường Điện Biên,Dien Bien Ward,dien_bien,001,"21.0323562, 105.8365906"
00022,Đội Cấn,Doi Can,Phường Đội Cấn,Doi Can Ward,doi_can,001,"21.0346472, 105.8266045"
00025,Ngọc Khánh,Ngoc Khanh,Phường Ngọc Khánh,Ngoc Khanh Ward,ngoc_khanh,001,"21.0296494, 105.810283"
00028,Kim Mã,Kim Ma,Phường Kim Mã,Kim Ma Ward,kim_ma,001,"21.0314542, 105.8249046"
00031,Giảng Võ,Giang Vo,Phường Giảng Võ,Giang Vo Ward,giang_vo,001,"21.0269451, 105.8180198"
00034,Thành Công,Thanh Cong,Phường Thành Công,Thanh Cong Ward,thanh_cong,001,"21.0205111, 105.8152857"
00037,Phúc Tân,Phuc Tan,Phường Phúc Tân,Phuc Tan Ward,phuc_tan,002,"21.0363416, 105.855503"
